dc,drift_value_kswin,host,id,parameter_id,station_id,topic,unix_timestamp,actual_timestamp
localhost,19.0,b104e5145a87,5646753498.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492373459.0,2017-04-16 20:10:59
localhost,15.0,b104e5145a87,5646806276.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492374655.0,2017-04-16 20:30:55
localhost,16.0,b104e5145a87,5647069080.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492380443.0,2017-04-16 22:07:23
localhost,22.0,b104e5145a87,5647451675.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492389239.0,2017-04-17 00:33:59
localhost,17.0,b104e5145a87,5647580905.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492392311.0,2017-04-17 01:25:11
localhost,18.0,b104e5145a87,5649364148.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492431743.0,2017-04-17 12:22:23
localhost,19.0,b104e5145a87,5649364638.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492431755.0,2017-04-17 12:22:35
localhost,19.0,b104e5145a87,5649501494.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492434857.0,2017-04-17 13:14:17
localhost,20.0,b104e5145a87,5649521727.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492435289.0,2017-04-17 13:21:29
localhost,18.0,b104e5145a87,5649636478.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492437716.0,2017-04-17 14:01:56
localhost,18.0,b104e5145a87,5649724935.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492439591.0,2017-04-17 14:33:11
localhost,19.0,b104e5145a87,5649725430.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492439601.0,2017-04-17 14:33:21
localhost,18.0,b104e5145a87,5649801478.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492441180.0,2017-04-17 14:59:40
localhost,20.0,b104e5145a87,5649918542.0,112.0,1160629000.0,sensor/1160629000_112_kswin,1492443616.0,2017-04-17 15:40:16
