dc,drift_value_hddm_a,host,id,parameter_id,station_id,topic,unix_timestamp,actual_timestamp
localhost,21.0,b104e5145a87,5648516565.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492414240.0,2017-04-17 07:30:40
localhost,21.0,b104e5145a87,5648530181.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492414534.0,2017-04-17 07:35:34
localhost,25.0,b104e5145a87,5648546797.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492414637.0,2017-04-17 07:37:17
localhost,21.0,b104e5145a87,5648547320.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492414830.0,2017-04-17 07:40:30
localhost,25.0,b104e5145a87,5648548470.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492414931.0,2017-04-17 07:42:11
localhost,22.0,b104e5145a87,5648557569.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492415134.0,2017-04-17 07:45:34
localhost,21.0,b104e5145a87,5648571303.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492415424.0,2017-04-17 07:50:24
localhost,21.0,b104e5145a87,5648585092.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492415716.0,2017-04-17 07:55:16
localhost,25.0,b104e5145a87,5648589611.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492415813.0,2017-04-17 07:56:53
localhost,21.0,b104e5145a87,5648598929.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492416014.0,2017-04-17 08:00:14
localhost,25.0,b104e5145a87,5648603188.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492416109.0,2017-04-17 08:01:49
localhost,21.0,b104e5145a87,5648612925.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492416318.0,2017-04-17 08:05:18
localhost,21.0,b104e5145a87,5648626866.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492416622.0,2017-04-17 08:10:22
localhost,21.0,b104e5145a87,5648641044.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492416923.0,2017-04-17 08:15:23
localhost,25.0,b104e5145a87,5648645924.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492417025.0,2017-04-17 08:17:05
localhost,21.0,b104e5145a87,5648655565.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492417224.0,2017-04-17 08:20:24
localhost,21.0,b104e5145a87,5648669281.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492417523.0,2017-04-17 08:25:23
localhost,25.0,b104e5145a87,5648674303.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492417627.0,2017-04-17 08:27:07
localhost,21.0,b104e5145a87,5648684245.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492417832.0,2017-04-17 08:30:32
localhost,21.0,b104e5145a87,5648698265.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492418132.0,2017-04-17 08:35:32
localhost,21.0,b104e5145a87,5648711852.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492418432.0,2017-04-17 08:40:32
localhost,25.0,b104e5145a87,5648730575.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492418542.0,2017-04-17 08:42:22
localhost,21.0,b104e5145a87,5648731213.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492418737.0,2017-04-17 08:45:37
localhost,25.0,b104e5145a87,5648731703.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492418847.0,2017-04-17 08:47:27
localhost,21.0,b104e5145a87,5648741962.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492419056.0,2017-04-17 08:50:56
localhost,21.0,b104e5145a87,5648757878.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492419368.0,2017-04-17 08:56:08
localhost,20.0,b104e5145a87,5648773264.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492419665.0,2017-04-17 09:01:05
localhost,24.0,b104e5145a87,5648777156.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492419746.0,2017-04-17 09:02:26
localhost,21.0,b104e5145a87,5648788795.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492419986.0,2017-04-17 09:06:26
localhost,21.0,b104e5145a87,5648803657.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492420302.0,2017-04-17 09:11:42
localhost,21.0,b104e5145a87,5648818422.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492420611.0,2017-04-17 09:16:51
localhost,20.0,b104e5145a87,5648833103.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492420920.0,2017-04-17 09:22:00
localhost,24.0,b104e5145a87,5648836796.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492420998.0,2017-04-17 09:23:18
localhost,20.0,b104e5145a87,5648848181.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492421235.0,2017-04-17 09:27:15
localhost,24.0,b104e5145a87,5648852276.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492421319.0,2017-04-17 09:28:39
localhost,20.0,b104e5145a87,5648863361.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492421551.0,2017-04-17 09:32:31
localhost,24.0,b104e5145a87,5648867015.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492421627.0,2017-04-17 09:33:47
localhost,20.0,b104e5145a87,5648879497.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492421869.0,2017-04-17 09:37:49
localhost,24.0,b104e5145a87,5648883296.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492421947.0,2017-04-17 09:39:07
localhost,20.0,b104e5145a87,5648895382.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492422195.0,2017-04-17 09:43:15
localhost,24.0,b104e5145a87,5648899365.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492422277.0,2017-04-17 09:44:37
localhost,20.0,b104e5145a87,5648920287.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492422520.0,2017-04-17 09:48:40
localhost,24.0,b104e5145a87,5648920502.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492422598.0,2017-04-17 09:49:58
localhost,20.0,b104e5145a87,5648927212.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492422841.0,2017-04-17 09:54:01
localhost,24.0,b104e5145a87,5648931329.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492422917.0,2017-04-17 09:55:17
localhost,21.0,b104e5145a87,5648943616.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492423176.0,2017-04-17 09:59:36
localhost,20.0,b104e5145a87,5648960352.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492423498.0,2017-04-17 10:04:58
localhost,24.0,b104e5145a87,5648964063.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492423573.0,2017-04-17 10:06:13
localhost,20.0,b104e5145a87,5648975480.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492423818.0,2017-04-17 10:10:18
localhost,24.0,b104e5145a87,5648979028.0,112.0,1160629000.0,sensor/1160629000_112_hddm_a,1492423894.0,2017-04-17 10:11:34
